stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
1224,,"CHERYL DR -- 32ND LN & 31ST AVE",,  33.576694,-112.127502
1225,,"CHILTON AVE & SAN MARCOS PL",,  33.353718,-111.843704
1226,,"COUNTRY GABLES DR & 31ST AVE",,  33.620956,-112.124069
1229,,"DOBBINS RD & 10TH AVE",,  33.362995,-112.085709
123,,"BROADWAY RD & 41ST ST",,  33.407192,-111.992508
1230,,"DOBBINS RD & 15TH AVE",,  33.362995,-112.091507
1231,,"DOBBINS RD & MONTEZUMA ST",,  33.362995,-112.079811
1232,,"DUNLAP AVE & 2ND DR",,  33.567616,-112.076508
1234,,"DUNLAP AVE & 11TH AVE",,  33.567474,-112.086502
1235,,"DUNLAP AVE & 15TH AVE",,  33.567474,-112.090714
1236,,"DUNLAP AVE & 17TH AVE",,  33.567493,-112.094009
1237,,"DUNLAP AVE & 19TH AVE",,  33.567524,-112.099014
1238,,"DUNLAP AVE & 23RD AVE",,  33.567463,-112.108002
1239,,"DUNLAP AVE & 25TH AVE",,  33.567467,-112.112320
124,,"BROADWAY RD & CHESTNUT",,  33.408016,-111.783813
1240,,"DUNLAP AVE & 31ST AVE",,  33.567402,-112.125313
1242,,"DUNLAP AVE & 35TH AVE",,  33.567398,-112.134010
1243,,"DUNLAP AVE & 37TH AVE",,  33.567402,-112.138023
1244,,"DUNLAP AVE & 39TH AVE",,  33.567406,-112.142311
1245,,"DUNLAP AVE & 43RD AVE",,  33.567402,-112.150803
1246,,"DUNLAP AVE & 7TH AVE",,  33.567493,-112.081810
1247,,"DUNLAP AVE & I-17 FWY",,  33.567471,-112.116005
1248,,"DUNLAP AVE & CORTEZ HS ENTRANCE",,  33.567406,-112.129204
1249,,"DUNLAP AVE & 21ST AVE",,  33.567493,-112.103310
125,,"BROADWAY RD & 18TH ST",,  33.406723,-112.041634
1253,,"DUNLAP AVE & 28TH AVE",,  33.567448,-112.119713
1255,,"DUNLAP AVE & 42ND AVE",,  33.567436,-112.148659
126,,"BROADWAY RD & 48TH ST",,  33.408222,-111.727707
1262,,"ELLIOT RD & SYCAMORE PL",,  33.349541,-111.869308
1263,,"ELLIOT RD & ROOSEVELT ST",,  33.349121,-111.949509
1264,,"ELLIOT RD & 91ST ST",,  33.349335,-111.887306
1265,,"ELLIOT RD & ALMA SCHOOL RD",,  33.349625,-111.857803
1266,,"ELLIOT RD & BULLMOOSE DR",,  33.349380,-111.882301
1267,,"ELLIOT RD & CENTRAL DR",,  33.349594,-111.866203
1268,,"ELLIOT RD & DOBSON RD",,  33.349468,-111.875511
