service_id,date,exception_type
TMOT14-Weekday-1-TMOT14-1111100,20141107,1
TMOT14-Weekday-1-TMOT14-1111100,20141110,1
TMOT14-Weekday-1-TMOT14-1111100,20141112,1
TMOT14-Weekday-1-TMOT14-1111100,20141113,1
TMOT14-Weekday-1-TMOT14-1111100,20141114,1
TMOT14-Weekday-1-TMOT14-1111100,20141117,1
TMOT14-Weekday-1-TMOT14-1111100,20141118,1
TMOT14-Weekday-1-TMOT14-1111100,20141119,1
TMOT14-Weekday-1-TMOT14-1111100,20141120,1
TMOT14-Weekday-1-TMOT14-1111100,20141121,1
TMOT14-Weekday-1-TMOT14-1111100,20141124,1
TMOT14-Weekday-1-TMOT14-1111100,20141125,1
TMOT14-Weekday-1-TMOT14-1111100,20141126,1
TMOT14-Weekday-1-TMOT14-1111100,20141201,1
TMOT14-Weekday-1-TMOT14-1111100,20141202,1
TMOT14-Weekday-1-TMOT14-1111100,20141203,1
TMOT14-Weekday-1-TMOT14-1111100,20141204,1
TMOT14-Weekday-1-TMOT14-1111100,20141205,1
TMOT14-Weekday-1-TMOT14-1111100,20141208,1
TMOT14-Weekday-1-TMOT14-1111100,20141209,1
TMOT14-Weekday-1-TMOT14-1111100,20141210,1
TMOT14-Weekday-1-TMOT14-1111100,20141211,1
TMOT14-Weekday-1-TMOT14-1111100,20141212,1
TMOT14-Weekday-1-TMOT14-1111100,20141215,1
TMOT14-Weekday-1-TMOT14-1111100,20141216,1
TMOT14-Weekday-1-TMOT14-1111100,20141217,1
TMOT14-Weekday-1-TMOT14-1111100,20141218,1
TMOT14-Weekday-1-TMOT14-1111100,20141219,1
TMOT14-Weekday-1-TMOT14-1111100,20141222,1
TMOT14-Weekday-1-TMOT14-1111100,20141223,1
TMOT14-Weekday-1-TMOT14-1111100,20141226,1
TMOT14-Weekday-1-TMOT14-1111100,20141229,1
TMOT14-Weekday-1-TMOT14-1111100,20141230,1
TMOT14-Weekday-1-TMOT14-1111100,20141231,1
TMOT14-Weekday-1-TMOT14-1111100,20150102,1
TMOT14-Weekday-1-TMOT14-1111100,20150105,1
TMOT14-Weekday-1-TMOT14-1111100,20150106,1
TMOT14-Weekday-1-TMOT14-1111100,20150107,1
TMOT14-Weekday-1-TMOT14-1111100,20150108,1
TMOT14-Weekday-1-TMOT14-1111100,20150109,1
TMOT14-Weekday-1-TMOT14-1111100,20150112,1
TMOT14-Weekday-1-TMOT14-1111100,20150113,1
TMOT14-Weekday-1-TMOT14-1111100,20150114,1
TMOT14-Weekday-1-TMOT14-1111100,20150115,1
TMOT14-Weekday-1-TMOT14-1111100,20150116,1
TMOT14-Weekday-1-TMOT14-1111100,20150120,1
TMOT14-Weekday-1-TMOT14-1111100,20150121,1
TMOT14-Weekday-1-TMOT14-1111100,20150122,1
TMOT14-Weekday-1-TMOT14-1111100,20150123,1
TMOT14-Weekday-1-TMOT14-1111000,20141027,1
TMOT14-Weekday-1-TMOT14-1111000,20141028,1
TMOT14-Weekday-1-TMOT14-1111000,20141029,1
TMOT14-Weekday-1-TMOT14-1111000,20141030,1
TMOT14-Weekday-1-TMOT14-1111000,20141103,1
TMOT14-Weekday-1-TMOT14-1111000,20141104,1
TMOT14-Weekday-1-TMOT14-1111000,20141105,1
TMOT14-Weekday-1-TMOT14-1111000,20141106,1
TMOT14-Weekday-1-TMOT14-1111000,20141110,1
TMOT14-Weekday-1-TMOT14-1111000,20141112,1
TMOT14-Weekday-1-TMOT14-1111000,20141113,1
TMOT14-Weekday-1-TMOT14-1111000,20141117,1
TMOT14-Weekday-1-TMOT14-1111000,20141118,1
TMOT14-Weekday-1-TMOT14-1111000,20141119,1
TMOT14-Weekday-1-TMOT14-1111000,20141120,1
TMOT14-Weekday-1-TMOT14-1111000,20141124,1
TMOT14-Weekday-1-TMOT14-1111000,20141125,1
TMOT14-Weekday-1-TMOT14-1111000,20141126,1
TMOT14-Weekday-1-TMOT14-1111000,20141201,1
TMOT14-Weekday-1-TMOT14-1111000,20141202,1
TMOT14-Weekday-1-TMOT14-1111000,20141203,1
TMOT14-Weekday-1-TMOT14-1111000,20141204,1
TMOT14-Weekday-1-TMOT14-1111000,20141208,1
TMOT14-Weekday-1-TMOT14-1111000,20141209,1
TMOT14-Weekday-1-TMOT14-1111000,20141210,1
TMOT14-Weekday-1-TMOT14-1111000,20141211,1
TMOT14-Weekday-1-TMOT14-1111000,20141215,1
TMOT14-Weekday-1-TMOT14-1111000,20141216,1
TMOT14-Weekday-1-TMOT14-1111000,20141217,1
TMOT14-Weekday-1-TMOT14-1111000,20141218,1
TMOT14-Weekday-1-TMOT14-1111000,20141222,1
TMOT14-Weekday-1-TMOT14-1111000,20141223,1
TMOT14-Weekday-1-TMOT14-1111000,20141229,1
TMOT14-Weekday-1-TMOT14-1111000,20141230,1
TMOT14-Weekday-1-TMOT14-1111000,20141231,1
TMOT14-Weekday-1-TMOT14-1111000,20150105,1
TMOT14-Weekday-1-TMOT14-1111000,20150106,1
TMOT14-Weekday-1-TMOT14-1111000,20150107,1
TMOT14-Weekday-1-TMOT14-1111000,20150108,1
TMOT14-Weekday-1-TMOT14-1111000,20150112,1
TMOT14-Weekday-1-TMOT14-1111000,20150113,1
TMOT14-Weekday-1-TMOT14-1111000,20150114,1
TMOT14-Weekday-1-TMOT14-1111000,20150115,1
TMOT14-Weekday-1-TMOT14-1111000,20150120,1
TMOT14-Weekday-1-TMOT14-1111000,20150121,1
TMOT14-Weekday-1-TMOT14-1111000,20150122,1
TMOT14-Weekday-1-TMOT14-0010000,20141029,1
TMOT14-Weekday-1-TMOT14-0010000,20141105,1
TMOT14-Weekday-1-TMOT14-0010000,20141112,1
TMOT14-Weekday-1-TMOT14-0010000,20141119,1
TMOT14-Weekday-1-TMOT14-0010000,20141126,1
TMOT14-Weekday-1-TMOT14-0010000,20141203,1
TMOT14-Weekday-1-TMOT14-0010000,20141210,1
TMOT14-Weekday-1-TMOT14-0010000,20141217,1
TMOT14-Weekday-1-TMOT14-0010000,20141231,1
TMOT14-Weekday-1-TMOT14-0010000,20150107,1
TMOT14-Weekday-1-TMOT14-0010000,20150114,1
TMOT14-Weekday-1-TMOT14-0010000,20150121,1
TMOT14-Weekday-1-TMOT14-1101100,20141027,1
TMOT14-Weekday-1-TMOT14-1101100,20141028,1
TMOT14-Weekday-1-TMOT14-1101100,20141030,1
TMOT14-Weekday-1-TMOT14-1101100,20141031,1
TMOT14-Weekday-1-TMOT14-1101100,20141103,1
TMOT14-Weekday-1-TMOT14-1101100,20141104,1
TMOT14-Weekday-1-TMOT14-1101100,20141106,1
TMOT14-Weekday-1-TMOT14-1101100,20141107,1
TMOT14-Weekday-1-TMOT14-1101100,20141110,1
TMOT14-Weekday-1-TMOT14-1101100,20141113,1
TMOT14-Weekday-1-TMOT14-1101100,20141114,1
TMOT14-Weekday-1-TMOT14-1101100,20141117,1
TMOT14-Weekday-1-TMOT14-1101100,20141118,1
TMOT14-Weekday-1-TMOT14-1101100,20141120,1
TMOT14-Weekday-1-TMOT14-1101100,20141121,1
TMOT14-Weekday-1-TMOT14-1101100,20141124,1
TMOT14-Weekday-1-TMOT14-1101100,20141125,1
TMOT14-Weekday-1-TMOT14-1101100,20141201,1
TMOT14-Weekday-1-TMOT14-1101100,20141202,1
TMOT14-Weekday-1-TMOT14-1101100,20141204,1
TMOT14-Weekday-1-TMOT14-1101100,20141205,1
TMOT14-Weekday-1-TMOT14-1101100,20141208,1
TMOT14-Weekday-1-TMOT14-1101100,20141209,1
